Datetime,Mock_HSH_Buy_Open,Mock_HSH_Buy_High,Mock_HSH_Buy_Low,Mock_HSH_Buy_Close,Mock_HSH_Sell_Open,Mock_HSH_Sell_High,Mock_HSH_Sell_Low,Mock_HSH_Sell_Close,Buy,Sell,pred_premium_buy,pred_premium_sell
2026-02-03 06:09:00,71340.0,71490.0,71270.0,71410.0,71490.0,71640.0,71420.0,71560.0,70770,70920,72.29992238963223,82.33827276957982
2026-02-03 06:10:00,70770.0,70840.0,70640.0,70820.0,70920.0,70990.0,70790.0,70970.0,70940,71090,29.50846760645436,39.568786528892815
2026-02-03 06:11:00,70940.0,70970.0,70700.0,70790.0,71090.0,71120.0,70850.0,70940.0,71450,71600,37.420162385217736,47.48048130765619
2026-02-03 06:14:00,71580.0,71680.0,71530.0,71670.0,71730.0,71830.0,71680.0,71820.0,71550,71700,81.71724067122705,91.77787868523228
2026-02-03 06:15:00,71550.0,71590.0,71440.0,71520.0,71700.0,71740.0,71590.0,71670.0,71640,71790,73.73636008972517,83.78297719683178
2026-02-03 06:16:00,71590.0,71740.0,71580.0,71680.0,71740.0,71890.0,71730.0,71830.0,71570,71720,81.65667621229204,91.70679488107815
2026-02-03 06:17:00,71560.0,71660.0,71550.0,71640.0,71710.0,71810.0,71700.0,71790.0,71640,71790,74.45054423680267,84.50448557584878
2026-02-03 06:18:00,71640.0,71870.0,71590.0,71840.0,71790.0,72020.0,71740.0,71990.0,71730,71880,74.72509103958419,84.77648360876265
2026-02-03 06:19:00,71740.0,71770.0,71630.0,71760.0,71890.0,71920.0,71780.0,71910.0,71820,71970,67.07526020091518,77.12792699347301
2026-02-03 06:20:00,71820.0,71840.0,71640.0,71710.0,71970.0,71990.0,71790.0,71860.0,71800,71950,71.21686027644955,81.26952706900647
2026-02-03 06:21:00,71780.0,72010.0,71690.0,71990.0,71930.0,72160.0,71840.0,72140.0,71920,72070,77.16904401472675,87.22075510946524
2026-02-03 06:24:00,71980.0,72120.0,71930.0,72110.0,72130.0,72270.0,72080.0,72260.0,72050,72200,72.76769050204985,82.8190830712283
2026-02-03 06:25:00,72050.0,72090.0,71950.0,72060.0,72200.0,72240.0,72100.0,72210.0,72050,72200,69.06889739533835,79.12028996451681
2026-02-03 06:26:00,72050.0,72110.0,71890.0,71980.0,72200.0,72260.0,72040.0,72130.0,71990,72140,68.3359086477185,78.38698271152316
2026-02-03 06:27:00,71990.0,72030.0,71820.0,71850.0,72140.0,72180.0,71970.0,72000.0,71730,71880,68.701211401396,78.75292249613449
2026-02-03 06:28:00,71730.0,71760.0,71620.0,71670.0,71880.0,71910.0,71770.0,71820.0,71680,71830,60.73772263961564,70.78656773087368
2026-02-03 06:29:00,71680.0,71720.0,71630.0,71650.0,71830.0,71870.0,71780.0,71800.0,71740,71890,61.73386532404948,71.78207374757949
2026-02-03 06:30:00,71740.0,71800.0,71640.0,71670.0,71890.0,71950.0,71790.0,71820.0,71630,71780,67.81764564569949,77.86649073695753
2026-02-03 06:31:00,71640.0,71680.0,71500.0,71550.0,71790.0,71830.0,71650.0,71700.0,71510,71660,65.3187274188158,75.36438997797904
2026-02-03 06:32:00,71510.0,71610.0,71460.0,71540.0,71660.0,71760.0,71610.0,71690.0,71550,71700,62.67071566096729,72.71415164683094
2026-02-03 06:33:00,71550.0,71580.0,71370.0,71530.0,71700.0,71730.0,71520.0,71680.0,71510,71660,63.590661497508336,73.63441550484094
2026-02-03 06:34:00,71500.0,71670.0,71450.0,71640.0,71650.0,71820.0,71600.0,71790.0,71630,71780,62.33052831279019,72.37587272961173
2026-02-03 06:35:00,71630.0,71700.0,71570.0,71620.0,71780.0,71850.0,71720.0,71770.0,71740,71890,61.89081397538303,71.94156955399922
2026-02-03 06:36:00,71750.0,71800.0,71570.0,71760.0,71900.0,71950.0,71720.0,71910.0,71720,71870,69.87601941903631,79.92741198821477
2026-02-03 06:37:00,71720.0,71760.0,71660.0,71680.0,71870.0,71910.0,71810.0,71830.0,71750,71900,67.51741871933518,77.570404118218
2026-02-03 06:38:00,71750.0,71880.0,71670.0,71790.0,71900.0,72030.0,71820.0,71940.0,71800,71950,72.28016085502804,82.3347395885221
2026-02-03 06:40:00,71920.0,71950.0,71730.0,71750.0,72070.0,72100.0,71880.0,71900.0,71760,71910,73.06425134498022,83.1191488060067
2026-02-03 06:41:00,71760.0,71830.0,71740.0,71750.0,71910.0,71980.0,71890.0,71900.0,71720,71870,74.03044111785857,84.08629488273709
2026-02-03 06:42:00,71670.0,71720.0,71600.0,71670.0,71820.0,71870.0,71750.0,71820.0,71670,71820,72.22888011389023,82.28473387876875
2026-02-03 06:43:00,71660.0,71690.0,71620.0,71660.0,71810.0,71840.0,71770.0,71810.0,71650,71800,72.02925550051441,82.08542807376762
2026-02-03 06:44:00,71650.0,71700.0,71620.0,71640.0,71800.0,71850.0,71770.0,71790.0,71670,71820,71.44843249074802,81.50460506400123
2026-02-03 06:45:00,71670.0,71760.0,71620.0,71700.0,71820.0,71910.0,71770.0,71850.0,71700,71850,73.25925550051488,83.31542807376809
2026-02-03 06:47:00,71740.0,71810.0,71730.0,71790.0,71890.0,71960.0,71880.0,71940.0,71780,71930,73.1749256646699,83.23428743384284
2026-02-03 06:48:00,71790.0,71850.0,71740.0,71830.0,71940.0,72000.0,71890.0,71980.0,71790,71940,72.30606526532574,82.36734152319423
2026-02-03 06:49:00,71780.0,71940.0,71780.0,71920.0,71930.0,72090.0,71930.0,72070.0,71850,72000,69.73786032744465,79.80041331601024
2026-02-03 06:50:00,71850.0,71940.0,71750.0,71890.0,72000.0,72090.0,71900.0,72040.0,71910,72060,64.99579427568642,75.05866649755626
2026-02-03 06:51:00,71910.0,72020.0,71890.0,71970.0,72060.0,72170.0,72040.0,72120.0,71950,72100,66.08874427158389,76.15449050494135
2026-02-03 06:52:00,71960.0,72050.0,71860.0,72020.0,72110.0,72200.0,72010.0,72170.0,71890,72040,64.60589273309324,74.6729168319116
2026-02-03 06:53:00,71890.0,71920.0,71810.0,71860.0,72040.0,72070.0,71960.0,72010.0,71950,72100,55.89221697121502,65.95956058709544
2026-02-03 06:54:00,71970.0,71970.0,71850.0,71910.0,72120.0,72120.0,72000.0,72060.0,71880,72030,61.84915441756766,71.91649803344808
2026-02-03 06:55:00,71880.0,71990.0,71840.0,71970.0,72030.0,72140.0,71990.0,72120.0,71960,72110,59.75253103243176,69.81795785011218
2026-02-03 06:56:00,71960.0,71990.0,71890.0,71960.0,72110.0,72140.0,72040.0,72110.0,71980,72130,59.38360337463837,69.4512665278653
2026-02-03 06:57:00,71990.0,71990.0,71880.0,71940.0,72140.0,72140.0,72030.0,72090.0,71940,72090,60.910203768945394,70.98202275429412
2026-02-03 06:58:00,71950.0,71980.0,71920.0,71980.0,72100.0,72130.0,72070.0,72130.0,71940,72090,60.73438537285347,70.80620435820128
2026-02-03 06:59:00,71930.0,72000.0,71880.0,71980.0,72080.0,72150.0,72030.0,72130.0,72020,72170,57.90093718599383,67.97147708838384
2026-02-03 07:00:00,72020.0,72160.0,71990.0,72110.0,72170.0,72310.0,72140.0,72260.0,72120,72270,60.53139638233552,70.60097718568613
2026-02-03 07:01:00,72110.0,72150.0,71980.0,72060.0,72260.0,72300.0,72130.0,72210.0,72030,72180,61.10951673380168,71.18293502983761
2026-02-03 07:02:00,72030.0,72160.0,71940.0,72120.0,72180.0,72310.0,72090.0,72270.0,72130,72280,59.413261127428086,69.48380102981719
2026-02-03 07:03:00,72120.0,72240.0,72020.0,72170.0,72270.0,72390.0,72170.0,72320.0,72100,72250,60.22876842409187,70.3028265866269
2026-02-03 07:04:00,72100.0,72250.0,72060.0,72220.0,72250.0,72400.0,72210.0,72370.0,72200,72350,55.30017065899756,65.37390887812217
2026-02-03 07:05:00,72210.0,72220.0,71990.0,72040.0,72360.0,72370.0,72140.0,72190.0,72030,72180,53.86599613841463,63.93973435753833
